tract_id,city,ml_rank_score,demand_tier,pct_area_ev_permitted,pct_area_commercial,pct_area_industrial,pct_area_residential,dominant_zone_category,feasibility_score,data_confidence,computed_at
41051005601,"PORTLAND, OR",0.107,Low,0.1453,0.1453,0.0,0.0,Other,0.1338,High,2026-03-10T07:02:58.056232+00:00
42049010108,"ALBION, PA",0.0,Low,0.0,0.0,0.0,0.0,Other,0.0,Low,2026-03-10T03:10:52.179189+00:00
42101000404,"PHILADELPHIA, PA",0.2484,Low,0.1674,0.1674,0.0,0.0,Other,0.1917,High,2026-03-09T17:06:54.730209+00:00
42101000701,"PHILADELPHIA, PA",0.4104,Medium,0.1475,0.1475,0.0,0.1276,Other,0.2264,High,2026-03-09T16:30:34.483730+00:00
42101000801,"PHILADELPHIA, PA",0.1815,Low,0.0244,0.0244,0.0,0.1868,Other,0.0715,High,2026-03-09T17:26:57.526244+00:00
42101000803,"PHILADELPHIA, PA",0.2404,Low,0.0105,0.0105,0.0,0.1376,Other,0.0795,High,2026-03-09T17:10:34.506469+00:00
42101000805,"PHILADELPHIA, PA",0.3961,Low,0.0566,0.0566,0.0,0.1251,Other,0.1585,High,2026-03-09T16:33:44.468325+00:00
42101000806,"PHILADELPHIA, PA",0.1148,Low,0.0218,0.0218,0.0,0.1945,Other,0.0497,High,2026-03-09T17:57:43.665772+00:00
42101000901,"PHILADELPHIA, PA",0.6698,Medium,0.0853,0.0853,0.0,0.1364,Other,0.2607,High,2026-03-09T15:55:59.560825+00:00
42101001203,"PHILADELPHIA, PA",0.3437,Low,0.0188,0.0188,0.0,0.2085,Other,0.1163,High,2026-03-09T16:43:50.551917+00:00
42101001301,"PHILADELPHIA, PA",0.0732,Low,0.0021,0.0021,0.0,0.4696,Other,0.0234,High,2026-03-10T07:28:40.402478+00:00
